Visitor Lga Name 1,Park Tourism Region,Park,last_yr,this_yr,percent_change
Wangaratta Rural City,All,Amamoor State Forest and Forest Reserve,1,0,-100
Wangaratta Rural City,All,Beerburrum and Beerwah State Forests,0,7,100
Wangaratta Rural City,All,Bladensburg National Park,4,0,-100
Wangaratta Rural City,All,Burrum Coast National Park,4,4,0
Wangaratta Rural City,All,Byfield National Park,4,0,-100
Wangaratta Rural City,All,Byfield State Forest,0,2,100
Wangaratta Rural City,All,Carnarvon National Park,10,0,-100
Wangaratta Rural City,All,Conondale National Park,6,0,-100
Wangaratta Rural City,All,Cooloola Recreation Area,12,2,-83.33333333
Wangaratta Rural City,All,Crows Nest National Park,0,4,100
Wangaratta Rural City,All,Currawinya National Park,0,2,100
Wangaratta Rural City,All,Daintree National Park,4,0,-100
Wangaratta Rural City,All,Dalrymple National Park,0,8,100
Wangaratta Rural City,All,Danbulla National Park,3,0,-100
Wangaratta Rural City,All,Diamantina National Park,0,2,100
Wangaratta Rural City,All,Expedition National Park,6,0,-100
Wangaratta Rural City,All,Family Islands National Park,6,0,-100
Wangaratta Rural City,All,Girramay National Park,4,0,-100
Wangaratta Rural City,All,Girraween National Park,0,2,100
Wangaratta Rural City,All,Girringun National Park,2,0,-100
Wangaratta Rural City,All,Goold Island National Park,6,0,-100
Wangaratta Rural City,All,Hinchinbrook Island National Park,36,0,-100
Wangaratta Rural City,All,Idalia National Park,4,0,-100
Wangaratta Rural City,All,Imbil State Forest,2,0,-100
Wangaratta Rural City,All,Inskip Peninsula Recreation Area,62,35,-43.5483871
Wangaratta Rural City,All,Isla Gorge National Park,2,0,-100
Wangaratta Rural City,All,Jardine River National Park,0,27,100
Wangaratta Rural City,All,K'gari (Fraser Island) Great Walk,10,0,-100
Wangaratta Rural City,All,K'gari (Fraser Island) Recreation Area,89,302,239.3258427
Wangaratta Rural City,All,Kutini-Payamu (Iron Range) National Park (CYPAL),6,0,-100
Wangaratta Rural City,All,Munga-Thirri National Park,0,2,100
Wangaratta Rural City,All,Paluma Range National Park,5,4,-20
Wangaratta Rural City,All,Porcupine Gorge National Park,12,10,-16.66666667
Wangaratta Rural City,All,Rinyirru (Lakefield) National Park (CYPAL),2,6,200
Wangaratta Rural City,All,Speewah Conservation Park,0,4,100
Wangaratta Rural City,All,Springbrook National Park,0,4,100
Wangaratta Rural City,All,Welford National Park,4,2,-50
Wangaratta Rural City,All,White Mountains National Park,4,0,-100
Wangaratta Rural City,All,Whitsunday Islands National Park,30,4,-86.66666667
Wangaratta Rural City,All,Wooroonooran National Park,5,0,-100
Waratah-Wynyard Council,All,Blackdown Tableland National Park,6,0,-100
Waratah-Wynyard Council,All,Boodjamulla (Lawn Hill) National Park,6,0,-100
Waratah-Wynyard Council,All,Bribie Island Recreation Area,0,4,100
Waratah-Wynyard Council,All,Brooyar State Forest,16,16,0
Waratah-Wynyard Council,All,Bunya Mountains National Park,0,18,100
Waratah-Wynyard Council,All,Burrum Coast National Park,9,0,-100
Waratah-Wynyard Council,All,Byfield Conservation Park,0,4,100
Waratah-Wynyard Council,All,Byfield State Forest,2,4,100
Waratah-Wynyard Council,All,Cape Hillsborough National Park,4,0,-100
Waratah-Wynyard Council,All,Carnarvon Great Walk,0,10,100
Waratah-Wynyard Council,All,Carnarvon National Park,4,0,-100
Waratah-Wynyard Council,All,Currawinya National Park,0,2,100
Waratah-Wynyard Council,All,Danbulla National Park,6,0,-100
Waratah-Wynyard Council,All,Eurimbula National Park,0,2,100
Waratah-Wynyard Council,All,Family Islands National Park,0,12,100
Waratah-Wynyard Council,All,Girramay National Park,0,4,100
Waratah-Wynyard Council,All,Girraween National Park,4,5,25
Waratah-Wynyard Council,All,Girringun National Park,0,2,100
Waratah-Wynyard Council,All,Heathlands Resources Reserve,4,2,-50
Waratah-Wynyard Council,All,Jardine River National Park,4,0,-100
Waratah-Wynyard Council,All,K'gari (Fraser Island) Recreation Area,0,38,100
Waratah-Wynyard Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),8,2,-75
Waratah-Wynyard Council,All,Nuga Nuga National Park,1,0,-100
Waratah-Wynyard Council,All,Oyala Thumotang National Park (CYPAL),2,0,-100
Waratah-Wynyard Council,All,Paluma Range National Park,4,4,0
Waratah-Wynyard Council,All,Porcupine Gorge National Park,2,6,200
Waratah-Wynyard Council,All,Rinyirru (Lakefield) National Park (CYPAL),0,4,100
Waratah-Wynyard Council,All,Sundown National Park,0,1,100
Waratah-Wynyard Council,All,Tully Gorge National Park,0,2,100
Waratah-Wynyard Council,All,Wongi State Forest,0,2,100
Waratah-Wynyard Council,All,Wooroonooran National Park,0,3,100
Warren Shire Council,All,Beerburrum and Beerwah State Forests,4,0,-100
Warren Shire Council,All,Boodjamulla (Lawn Hill) National Park,3,0,-100
Warren Shire Council,All,Byfield Conservation Park,0,2,100
Warren Shire Council,All,Dinden National Park,0,2,100
Warren Shire Council,All,Girraween National Park,0,2,100
Warren Shire Council,All,Girringun National Park,7,0,-100
Warren Shire Council,All,Inskip Peninsula Recreation Area,4,0,-100
Warren Shire Council,All,Jardine River National Park,6,0,-100
Warren Shire Council,All,K'gari (Fraser Island) Recreation Area,0,12,100
Warren Shire Council,All,Main Range National Park,0,2,100
Warren Shire Council,All,Porcupine Gorge National Park,2,0,-100
Warrnambool City,All,Amamoor State Forest and Forest Reserve,56,6,-89.28571429
Warrnambool City,All,Beerburrum and Beerwah State Forests,4,0,-100
Warrnambool City,All,Benarkin State Forest,0,2,100
Warrnambool City,All,Bladensburg National Park,4,6,50
Warrnambool City,All,Boodjamulla (Lawn Hill) National Park,4,0,-100
Warrnambool City,All,Bribie Island Recreation Area,8,0,-100
Warrnambool City,All,Byfield State Forest,1,1,0
Warrnambool City,All,Cape Hillsborough National Park,0,2,100
Warrnambool City,All,Carnarvon National Park,0,1,100
Warrnambool City,All,Cooloola Recreation Area,32,19,-40.625
Warrnambool City,All,Currawinya National Park,0,8,100
Warrnambool City,All,D'Aguilar National Park,8,0,-100
Warrnambool City,All,Daintree National Park,4,0,-100
Warrnambool City,All,Daintree National Park (CYPAL),0,10,100
Warrnambool City,All,Danbulla National Park,5,1,-80
Warrnambool City,All,Davies Creek National Park,0,6,100
Warrnambool City,All,Deepwater National Park,0,2,100
Warrnambool City,All,Diamantina National Park,0,12,100
Warrnambool City,All,Eungella National Park,3,2,-33.33333333
Warrnambool City,All,Eurimbula National Park,12,1,-91.66666667
Warrnambool City,All,Girramay National Park,5,2,-60
Warrnambool City,All,Girringun National Park,2,0,-100
Warrnambool City,All,Heathlands Resources Reserve,0,2,100
Warrnambool City,All,"Hinchinbrook Island NP, Thorsborne Trail",40,0,-100
Warrnambool City,All,Idalia National Park,0,4,100
Warrnambool City,All,Imbil State Forest,0,4,100
Warrnambool City,All,Inskip Peninsula Recreation Area,36,54,50
Warrnambool City,All,Jardine River National Park,39,0,-100
Warrnambool City,All,K'gari (Fraser Island) Recreation Area,203,216,6.403940887
Warrnambool City,All,Kutini-Payamu (Iron Range) National Park (CYPAL),32,2,-93.75
Warrnambool City,All,Moorrinya National Park,0,2,100
Warrnambool City,All,Paluma Range National Park,9,13,44.44444444
Warrnambool City,All,Porcupine Gorge National Park,5,0,-100
Warrnambool City,All,Rinyirru (Lakefield) National Park (CYPAL),23,12,-47.82608696
Warrnambool City,All,Springbrook National Park,5,0,-100
Warrnambool City,All,Tully Gorge National Park,0,1,100
Warrnambool City,All,Whitsunday Islands National Park,64,0,-100
Warrnambool City,All,Wooroonooran National Park,2,0,-100
Warrumbungle Shire Council,All,Amamoor State Forest and Forest Reserve,0,1,100
Warrumbungle Shire Council,All,Beerburrum and Beerwah State Forests,0,21,100
Warrumbungle Shire Council,All,Blackdown Tableland National Park,13,0,-100
Warrumbungle Shire Council,All,Bladensburg National Park,10,0,-100
Warrumbungle Shire Council,All,Boodjamulla (Lawn Hill) National Park,6,24,300
Warrumbungle Shire Council,All,Bribie Island Recreation Area,1,18,1700
Warrumbungle Shire Council,All,Brooyar State Forest,0,2,100
Warrumbungle Shire Council,All,Bunya Mountains National Park,7,5,-28.57142857
Warrumbungle Shire Council,All,Burrum Coast National Park,4,1,-75
Warrumbungle Shire Council,All,Byfield Conservation Park,2,0,-100
Warrumbungle Shire Council,All,Byfield National Park,2,0,-100
Warrumbungle Shire Council,All,Cape Melville National Park (CYPAL),46,0,-100
Warrumbungle Shire Council,All,Carnarvon National Park,41,8,-80.48780488
Warrumbungle Shire Council,All,Conondale National Park,0,9,100
Warrumbungle Shire Council,All,Cooloola Recreation Area,19,0,-100
Warrumbungle Shire Council,All,Crows Nest National Park,0,8,100
Warrumbungle Shire Council,All,Danbulla National Park,5,3,-40
Warrumbungle Shire Council,All,Deepwater National Park,7,0,-100
Warrumbungle Shire Council,All,Diamantina National Park,15,0,-100
Warrumbungle Shire Council,All,Eurimbula National Park,12,0,-100
Warrumbungle Shire Council,All,Expedition National Park,4,0,-100
Warrumbungle Shire Council,All,Girramay National Park,2,0,-100
Warrumbungle Shire Council,All,Girraween National Park,0,4,100
Warrumbungle Shire Council,All,Heathlands Resources Reserve,3,0,-100
Warrumbungle Shire Council,All,Idalia National Park,8,0,-100
Warrumbungle Shire Council,All,Imbil State Forest,0,42,100
Warrumbungle Shire Council,All,Inskip Peninsula Recreation Area,44,46,4.545454545
Warrumbungle Shire Council,All,Jardine River National Park,0,6,100
Warrumbungle Shire Council,All,K'gari (Fraser Island) Great Walk,2,0,-100
Warrumbungle Shire Council,All,K'gari (Fraser Island) Recreation Area,343,244,-28.86297376
Warrumbungle Shire Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),28,19,-32.14285714
Warrumbungle Shire Council,All,Lochern National Park,8,2,-75
Warrumbungle Shire Council,All,Main Range National Park,6,0,-100
Warrumbungle Shire Council,All,Porcupine Gorge National Park,0,10,100
Warrumbungle Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),64,33,-48.4375
Warrumbungle Shire Council,All,Springbrook National Park,7,0,-100
Warrumbungle Shire Council,All,Sundown National Park,0,1,100
Warrumbungle Shire Council,All,Tully Gorge National Park,5,0,-100
Warrumbungle Shire Council,All,Welford National Park,10,0,-100
Warrumbungle Shire Council,All,Whitsunday Islands National Park,0,18,100
Warrumbungle Shire Council,All,Wooroonooran National Park,1,2,100
Waverley Council,All,Abergowrie State Forest,1,0,-100
Waverley Council,All,Amamoor State Forest and Forest Reserve,0,5,100
Waverley Council,All,Auburn River National Park,0,4,100
Waverley Council,All,Barnard Island Group National Park,4,0,-100
Waverley Council,All,Beerburrum and Beerwah State Forests,10,24,140
Waverley Council,All,Blackbraes National Park,0,2,100
Waverley Council,All,Blackdown Tableland National Park,5,3,-40
Waverley Council,All,Bladensburg National Park,0,1,100
Waverley Council,All,Boodjamulla (Lawn Hill) National Park,8,0,-100
Waverley Council,All,Bribie Island Recreation Area,4,16,300
Waverley Council,All,Brooyar State Forest,2,4,100
Waverley Council,All,Bunya Mountains National Park,11,0,-100
Waverley Council,All,Burrum Coast National Park,5,6,20
Waverley Council,All,Byfield State Forest,6,7,16.66666667
Waverley Council,All,Cape Hillsborough National Park,21,24,14.28571429
Waverley Council,All,Cape Palmerston National Park,4,0,-100
Waverley Council,All,Capricornia Cays National Park,157,28,-82.1656051
Waverley Council,All,Carnarvon National Park,13,4,-69.23076923
Waverley Council,All,Cathu State Forest,5,0,-100
Waverley Council,All,Conondale National Park,3,5,66.66666667
Waverley Council,All,Conway National Park,0,1,100
Waverley Council,All,Cooloola Recreation Area,45,62,37.77777778
Waverley Council,All,Currawinya National Park,0,4,100
Waverley Council,All,D'Aguilar National Park,0,2,100
Waverley Council,All,Daintree National Park,38,0,-100
Waverley Council,All,Daintree National Park (CYPAL),0,43,100
Waverley Council,All,Danbulla National Park,8,14,75
Waverley Council,All,Davies Creek National Park,6,2,-66.66666667
Waverley Council,All,Deepwater National Park,9,12,33.33333333
Waverley Council,All,Diamantina National Park,0,3,100
Waverley Council,All,Eungella National Park,11,9,-18.18181818
Waverley Council,All,Eurimbula National Park,23,5,-78.26086957
Waverley Council,All,Frankland Group National Park,0,6,100
Waverley Council,All,Girramay National Park,5,6,20
Waverley Council,All,Girraween National Park,2,2,0
Waverley Council,All,Girringun National Park,29,39,34.48275862
Waverley Council,All,Goold Island National Park,8,0,-100
Waverley Council,All,Hinchinbrook Island National Park,1,0,-100
Waverley Council,All,"Hinchinbrook Island NP, Thorsborne Trail",36,19,-47.22222222
Waverley Council,All,Hope Islands National Park,12,0,-100
Waverley Council,All,Imbil State Forest,16,0,-100
Waverley Council,All,Inskip Peninsula Recreation Area,113,110,-2.654867257
Waverley Council,All,Isla Gorge National Park,2,0,-100
Waverley Council,All,Jardine River National Park,0,30,100
Waverley Council,All,Jimna State Forest,0,7,100
Waverley Council,All,K'gari (Fraser Island) Recreation Area,393,356,-9.41475827
Waverley Council,All,Lizard Island National Park,0,6,100
Waverley Council,All,Molle Islands National Park,16,4,-75
Waverley Council,All,Nuga Nuga National Park,2,0,-100
Waverley Council,All,Paluma Range National Park,11,28,154.5454545
Waverley Council,All,Porcupine Gorge National Park,0,6,100
Waverley Council,All,Rinyirru (Lakefield) National Park (CYPAL),2,8,300
Waverley Council,All,Russell River National Park,2,2,0
Waverley Council,All,Speewah Conservation Park,4,6,50
Waverley Council,All,Springbrook National Park,17,20,17.64705882
Waverley Council,All,Sunshine Coast Hinterland Great Walk,0,6,100
Waverley Council,All,Tuan State Forest,3,4,33.33333333
Waverley Council,All,Tully Gorge National Park,0,2,100
Waverley Council,All,Whitsunday Islands National Park,129,50,-61.24031008
Waverley Council,All,Wongi State Forest,4,0,-100
Waverley Council,All,Wooroonooran National Park,7,8,14.28571429
Weddin Shire Council,All,Byfield State Forest,0,2,100
Weddin Shire Council,All,Cooloola Recreation Area,0,2,100
Weddin Shire Council,All,Crows Nest National Park,0,1,100
Weddin Shire Council,All,Daintree National Park (CYPAL),0,1,100
Weddin Shire Council,All,Diamantina National Park,0,7,100
Weddin Shire Council,All,Girringun National Park,0,1,100
Weddin Shire Council,All,Inskip Peninsula Recreation Area,0,2,100
Weddin Shire Council,All,Jardine River National Park,0,15,100
Weddin Shire Council,All,K'gari (Fraser Island) Recreation Area,0,36,100
Weddin Shire Council,All,Paluma Range National Park,2,0,-100
Weddin Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),0,9,100
Weddin Shire Council,All,Speewah Conservation Park,0,2,100
Weddin Shire Council,All,Welford National Park,2,0,-100
Wellington Shire,All,Amamoor State Forest and Forest Reserve,4,0,-100
Wellington Shire,All,Auburn River National Park,0,1,100
Wellington Shire,All,Beerburrum and Beerwah State Forests,24,9,-62.5
Wellington Shire,All,Benarkin State Forest,0,1,100
Wellington Shire,All,Blackbraes National Park,2,1,-50
Wellington Shire,All,Blackdown Tableland National Park,2,9,350
Wellington Shire,All,Bladensburg National Park,22,10,-54.54545455
Wellington Shire,All,Boodjamulla (Lawn Hill) National Park,47,0,-100
Wellington Shire,All,Bribie Island Recreation Area,2,8,300
Wellington Shire,All,Brooyar State Forest,0,9,100
Wellington Shire,All,Bunya Mountains National Park,6,8,33.33333333
Wellington Shire,All,Burrum Coast National Park,0,13,100
Wellington Shire,All,Byfield Conservation Park,0,2,100
Wellington Shire,All,Byfield National Park,1,0,-100
Wellington Shire,All,Byfield State Forest,19,19,0
Wellington Shire,All,Cape Hillsborough National Park,10,27,170
Wellington Shire,All,Cape Melville National Park (CYPAL),0,94,100
Wellington Shire,All,Cape Palmerston National Park,0,9,100
Wellington Shire,All,Capricornia Cays National Park,20,0,-100
Wellington Shire,All,Carnarvon National Park,21,28,33.33333333
Wellington Shire,All,Cathu State Forest,1,0,-100
Wellington Shire,All,Conondale National Park,0,3,100
Wellington Shire,All,Cooloola Recreation Area,21,35,66.66666667
Wellington Shire,All,Crows Nest National Park,2,0,-100
Wellington Shire,All,Currawinya National Park,34,18,-47.05882353
Wellington Shire,All,Curtis Island National Park and Conservation Park,18,0,-100
Wellington Shire,All,Daintree National Park,13,0,-100
Wellington Shire,All,Daintree National Park (CYPAL),0,12,100
Wellington Shire,All,Danbulla National Park,65,59,-9.230769231
Wellington Shire,All,Davies Creek National Park,1,1,0
Wellington Shire,All,Deepwater National Park,8,10,25
Wellington Shire,All,Diamantina National Park,26,8,-69.23076923
Wellington Shire,All,Dinden National Park,11,2,-81.81818182
Wellington Shire,All,Dryander National Park,0,10,100
Wellington Shire,All,Eungella National Park,12,11,-8.333333333
Wellington Shire,All,Eurimbula National Park,22,5,-77.27272727
Wellington Shire,All,Expedition National Park,1,0,-100
Wellington Shire,All,Family Islands National Park,2,0,-100
Wellington Shire,All,Forest Den National Park,9,0,-100
Wellington Shire,All,Girramay National Park,16,11,-31.25
Wellington Shire,All,Girraween National Park,27,14,-48.14814815
Wellington Shire,All,Girringun National Park,13,6,-53.84615385
Wellington Shire,All,Gloucester Islands National Park,40,51,27.5
Wellington Shire,All,Goold Island National Park,2,0,-100
Wellington Shire,All,Heathlands Resources Reserve,1,9,800
Wellington Shire,All,Hell Hole Gorge National Park,11,13,18.18181818
Wellington Shire,All,Hinchinbrook Island National Park,12,0,-100
Wellington Shire,All,"Hinchinbrook Island NP, Thorsborne Trail",26,5,-80.76923077
Wellington Shire,All,Idalia National Park,16,4,-75
Wellington Shire,All,Imbil State Forest,0,8,100
Wellington Shire,All,Inskip Peninsula Recreation Area,158,196,24.05063291
Wellington Shire,All,Isla Gorge National Park,0,3,100
Wellington Shire,All,Jardine River National Park,43,50,16.27906977
Wellington Shire,All,K'gari (Fraser Island) Recreation Area,445,516,15.95505618
Wellington Shire,All,Kroombit Tops National Park,0,4,100
Wellington Shire,All,Kutini-Payamu (Iron Range) National Park (CYPAL),117,75,-35.8974359
Wellington Shire,All,Lake Murphy Conservation Park,0,6,100
Wellington Shire,All,Lochern National Park,6,0,-100
Wellington Shire,All,Main Range Conservation Park,0,4,100
Wellington Shire,All,Main Range National Park,4,2,-50
Wellington Shire,All,Mariala National Park,12,0,-100
Wellington Shire,All,Molle Islands National Park,0,22,100
Wellington Shire,All,Moogerah Peaks National Park,3,0,-100
Wellington Shire,All,Mouth of Baffle Creek Conservation Park,5,0,-100
Wellington Shire,All,Munga-Thirri National Park,5,0,-100
Wellington Shire,All,Nuga Nuga National Park,0,6,100
Wellington Shire,All,Oyala Thumotang National Park (CYPAL),2,1,-50
Wellington Shire,All,Palmer Goldfield Resources Reserve,6,0,-100
Wellington Shire,All,Paluma Range National Park,30,47,56.66666667
Wellington Shire,All,Porcupine Gorge National Park,20,10,-50
Wellington Shire,All,Rinyirru (Lakefield) National Park (CYPAL),40,36,-10
Wellington Shire,All,Russell River National Park,40,0,-100
Wellington Shire,All,Speewah Conservation Park,5,2,-60
Wellington Shire,All,Springbrook National Park,5,17,240
Wellington Shire,All,Tolderodden Conservation Park,0,4,100
Wellington Shire,All,Tully Gorge National Park,20,0,-100
Wellington Shire,All,Welford National Park,8,8,0
Wellington Shire,All,Whitsunday Islands National Park,0,26,100
Wellington Shire,All,Wooroonooran National Park,22,17,-22.72727273
Wellington Shire,All,"Wooroonooran NP, Bartle Frere trail",0,2,100
Wentworth Shire Council,All,Abergowrie State Forest,0,2,100
Wentworth Shire Council,All,Amamoor State Forest and Forest Reserve,2,1,-50
Wentworth Shire Council,All,Beerburrum and Beerwah State Forests,0,19,100
Wentworth Shire Council,All,Blackdown Tableland National Park,0,12,100
Wentworth Shire Council,All,Bladensburg National Park,0,2,100
Wentworth Shire Council,All,Boodjamulla (Lawn Hill) National Park,12,0,-100
Wentworth Shire Council,All,Brooyar State Forest,0,5,100
Wentworth Shire Council,All,Bulburin National Park,0,4,100
Wentworth Shire Council,All,Bunya Mountains National Park,1,0,-100
Wentworth Shire Council,All,Burrum Coast National Park,0,5,100
Wentworth Shire Council,All,Byfield National Park,0,4,100
Wentworth Shire Council,All,Byfield State Forest,2,9,350
Wentworth Shire Council,All,Cape Hillsborough National Park,0,1,100
Wentworth Shire Council,All,Cape Palmerston National Park,0,4,100
Wentworth Shire Council,All,Cathu State Forest,0,1,100
Wentworth Shire Council,All,Conondale National Park,6,0,-100
Wentworth Shire Council,All,Cooloola Recreation Area,10,8,-20
Wentworth Shire Council,All,Crediton State Forest,0,3,100
Wentworth Shire Council,All,Crows Nest National Park,8,0,-100
Wentworth Shire Council,All,Currawinya National Park,8,6,-25
Wentworth Shire Council,All,Daintree National Park (CYPAL),0,19,100
Wentworth Shire Council,All,Danbulla National Park,8,14,75
Wentworth Shire Council,All,Deepwater National Park,0,8,100
Wentworth Shire Council,All,Diamantina National Park,2,0,-100
Wentworth Shire Council,All,Dinden National Park,4,0,-100
Wentworth Shire Council,All,Eungella National Park,0,4,100
Wentworth Shire Council,All,Eurimbula National Park,6,0,-100
Wentworth Shire Council,All,Girramay National Park,5,2,-60
Wentworth Shire Council,All,Girraween National Park,4,0,-100
Wentworth Shire Council,All,Girringun National Park,0,6,100
Wentworth Shire Council,All,Glen Rock State Forest,0,2,100
Wentworth Shire Council,All,"Hinchinbrook Island NP, Thorsborne Trail",20,12,-40
Wentworth Shire Council,All,Inskip Peninsula Recreation Area,18,78,333.3333333
Wentworth Shire Council,All,Isla Gorge National Park,0,5,100
Wentworth Shire Council,All,Jardine River National Park,9,8,-11.11111111
Wentworth Shire Council,All,K'gari (Fraser Island) Recreation Area,366,535,46.17486339
Wentworth Shire Council,All,Kroombit Tops National Park,0,4,100
Wentworth Shire Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),46,43,-6.52173913
Wentworth Shire Council,All,Molle Islands National Park,0,18,100
Wentworth Shire Council,All,Paluma Range National Park,10,18,80
Wentworth Shire Council,All,Porcupine Gorge National Park,0,2,100
Wentworth Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),6,17,183.3333333
Wentworth Shire Council,All,Speewah Conservation Park,0,2,100
Wentworth Shire Council,All,Springbrook National Park,2,0,-100
Wentworth Shire Council,All,Tully Gorge National Park,0,6,100
Wentworth Shire Council,All,Whitsunday Islands National Park,0,71,100
Wentworth Shire Council,All,Wooroonooran National Park,1,0,-100
West Arnhem Region,All,Blackdown Tableland National Park,4,0,-100
West Arnhem Region,All,Bribie Island Recreation Area,0,4,100
West Arnhem Region,All,Cooloola Recreation Area,0,1,100
West Arnhem Region,All,Daintree National Park,2,0,-100
West Arnhem Region,All,Springbrook National Park,0,1,100
West Coast Council,All,Abergowrie State Forest,2,0,-100
West Coast Council,All,Barnard Island Group National Park,0,12,100
West Coast Council,All,Beerburrum and Beerwah State Forests,0,4,100
West Coast Council,All,Blackdown Tableland National Park,7,0,-100
West Coast Council,All,Boodjamulla (Lawn Hill) National Park,4,0,-100
West Coast Council,All,Bunya Mountains National Park,2,2,0
West Coast Council,All,Byfield State Forest,8,0,-100
West Coast Council,All,Carnarvon National Park,0,6,100
West Coast Council,All,Conondale National Park,0,2,100
West Coast Council,All,Cooloola Recreation Area,0,2,100
West Coast Council,All,Crows Nest National Park,2,0,-100
West Coast Council,All,Danbulla National Park,0,16,100
West Coast Council,All,Eurimbula National Park,2,0,-100
West Coast Council,All,Girramay National Park,4,4,0
West Coast Council,All,Inskip Peninsula Recreation Area,8,6,-25
West Coast Council,All,Jardine River National Park,8,0,-100
West Coast Council,All,K'gari (Fraser Island) Recreation Area,46,56,21.73913043
West Coast Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),4,6,50
West Coast Council,All,Main Range National Park,3,0,-100
West Coast Council,All,Palmer Goldfield Resources Reserve,2,0,-100
West Coast Council,All,Paluma Range National Park,0,4,100
West Coast Council,All,Porcupine Gorge National Park,8,4,-50
West Tamar Council,All,Abergowrie State Forest,2,0,-100
West Tamar Council,All,Amamoor State Forest and Forest Reserve,2,0,-100
West Tamar Council,All,Burrum Coast National Park,4,0,-100
West Tamar Council,All,Cape Hillsborough National Park,1,0,-100
West Tamar Council,All,Cooloola Recreation Area,13,10,-23.07692308
West Tamar Council,All,Deepwater National Park,2,0,-100
West Tamar Council,All,Dinden National Park,0,2,100
West Tamar Council,All,Girraween National Park,0,4,100
West Tamar Council,All,Inskip Peninsula Recreation Area,149,41,-72.48322148
West Tamar Council,All,K'gari (Fraser Island) Recreation Area,113,0,-100
West Tamar Council,All,Lamington National Park,4,4,0
West Tamar Council,All,Paluma Range National Park,7,0,-100
West Tamar Council,All,Porcupine Gorge National Park,12,0,-100
West Tamar Council,All,Wooroonooran National Park,2,2,0
West Wimmera Shire,All,Daintree National Park,8,0,-100
West Wimmera Shire,All,Jardine River National Park,8,0,-100
West Wimmera Shire,All,K'gari (Fraser Island) Recreation Area,0,8,100
West Wimmera Shire,All,Kutini-Payamu (Iron Range) National Park (CYPAL),8,0,-100
West Wimmera Shire,All,Porcupine Gorge National Park,4,0,-100
Western Downs Regional,All,Amamoor State Forest and Forest Reserve,44,79,79.54545455
Western Downs Regional,All,Auburn River National Park,83,44,-46.98795181
Western Downs Regional,All,Barakula State Forest,2,21,950
Western Downs Regional,All,Beerburrum and Beerwah State Forests,17,15,-11.76470588
Western Downs Regional,All,Benarkin State Forest,81,145,79.01234568
Western Downs Regional,All,Blackdown Tableland National Park,31,73,135.483871
Western Downs Regional,All,Boodjamulla (Lawn Hill) National Park,51,0,-100
Western Downs Regional,All,Bowling Green Bay National Park,2,0,-100
Western Downs Regional,All,Bribie Island Recreation Area,83,75,-9.638554217
Western Downs Regional,All,Brooyar State Forest,9,57,533.3333333
Western Downs Regional,All,Bunya Mountains National Park,304,449,47.69736842
Western Downs Regional,All,Burrum Coast National Park,463,240,-48.16414687
Western Downs Regional,All,Byfield Conservation Park,8,14,75
Western Downs Regional,All,Byfield National Park,28,4,-85.71428571
Western Downs Regional,All,Byfield State Forest,76,34,-55.26315789
Western Downs Regional,All,Cape Hillsborough National Park,22,20,-9.090909091
Western Downs Regional,All,Cape Melville National Park (CYPAL),9,8,-11.11111111
Western Downs Regional,All,Cape Palmerston National Park,26,22,-15.38461538
Western Downs Regional,All,Capricornia Cays National Park,120,10,-91.66666667
Western Downs Regional,All,Carnarvon Great Walk,31,14,-54.83870968
Western Downs Regional,All,Carnarvon National Park,123,73,-40.6504065
Western Downs Regional,All,Conondale National Park,52,62,19.23076923
Western Downs Regional,All,Conondale Range Great Walk,0,9,100
Western Downs Regional,All,Conway Circuit,0,2,100
Western Downs Regional,All,Cooloola Great Walk,7,18,157.1428571
Western Downs Regional,All,Cooloola Recreation Area,557,627,12.56732496
Western Downs Regional,All,Crediton State Forest,4,3,-25
Western Downs Regional,All,Crows Nest National Park,80,33,-58.75
Western Downs Regional,All,Culgoa Floodplain National Park,0,8,100
Western Downs Regional,All,Currawinya National Park,0,16,100
Western Downs Regional,All,Curtis Island National Park and Conservation Park,4,10,150
Western Downs Regional,All,D'Aguilar National Park,17,0,-100
Western Downs Regional,All,Daintree National Park,6,0,-100
Western Downs Regional,All,Danbulla National Park,46,30,-34.7826087
Western Downs Regional,All,Davies Creek National Park,2,0,-100
Western Downs Regional,All,Deepwater National Park,188,15,-92.0212766
Western Downs Regional,All,Diamantina National Park,0,4,100
Western Downs Regional,All,Eungella National Park,20,17,-15
Western Downs Regional,All,Eurimbula National Park,117,221,88.88888889
Western Downs Regional,All,Expedition National Park,48,12,-75
Western Downs Regional,All,Girramay National Park,0,8,100
Western Downs Regional,All,Girraween National Park,27,112,314.8148148
Western Downs Regional,All,Girringun National Park,26,9,-65.38461538
Western Downs Regional,All,Gold Coast Hinterland Great Walk,1,2,100
Western Downs Regional,All,Heathlands Resources Reserve,4,0,-100
Western Downs Regional,All,Hell Hole Gorge National Park,0,20,100
Western Downs Regional,All,"Hinchinbrook Island NP, Thorsborne Trail",6,9,50
Western Downs Regional,All,Hope Islands National Park,8,2,-75
